stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
198,KAPUSKASING,49.4156849943102,-82.4206409230829,0
200,HARTY,49.4747169781477,-82.681656992063,0
201,OPASATIKA,49.5269849337638,-82.8656169679017,0
202,MATTICE,49.6128069888801,-83.2631649356336,0
203,VAL COTÉ,49.6432359796018,-83.4045839868487,0
204,HEARST,49.690561965108,-83.6710509750993,0
162,TILDEN LAKE,46.5826189890504,-79.6378949191422,0
163,MARTEN RIVER,46.7353329900653,-79.80365392752,0
164,TEMAGAMI,47.0637109782547,-79.7891969885678,0
165,LATCHFORD,47.3260389827192,-79.8109189420939,0
166,BASS LAKE RD,47.3809019755573,-79.7315838932992,0
167,COBALT,47.3929269891233,-79.6869119536132,0
168,HAILEYBURY,47.4420519825072,-79.6375229302794,0
169,NEW LISKEARD,47.5065569300205,-79.6673309896142,0
170,THORNLOE,47.667729947716,-79.7379719931633,0
171,EARLTON,47.711003953591,-79.8234459478409,0
172,ENGLEHART,47.8187749441714,-79.8664149362595,0
173,DANE,48.0730119813234,-80.035008955747,0
174,KIRKLAND LAKE,48.1477759592236,-80.0452299322934,0
175,SWASTIKA,48.1078499369324,-80.1039709802718,0
176,KENOGAMI northbound,48.1001749634743,-80.1956089865417,0
177,SESEKINIKA northbound,48.1665859557689,-80.2497289236636,0
179,RAMORE,48.4336369950325,-80.3270729351789,0
181,SHILLINGTON,48.5377909429372,-80.6807109620423,0
182,HWY 101 - MUNICIPAL RD,48.5452579613775,-80.8907919656486,0
117,NIGHTHAWK,48.5500079859049,-80.9869889728726,0
184,HOYLE,48.5489129740745,-81.0577979497612,0
187,SOUTH PORCUPINE,48.4853729512543,-81.2112399190665,0
188,VAL GAGNÉ,48.6028269678355,-80.6384939979763,0
189,PORQUIS JCT,48.7109999544919,-80.7830739486963,0
190,IROQUOIS FALLS,48.7657199520618,-80.6806199345738,0
191,NELLIE LAKE,48.7688929215074,-80.8012269716711,0
186,NORTHERN COLLEGE,48.4878709260375,-81.2004759628326,0
100,WARREN,46.4420309197158,-80.311162993312,0
101,VERNER,46.4146499242634,-80.1339399721474,0
102,STURGEON FALLS,46.3665679749102,-79.9170659389348,0
103,MATTAWA,46.3163809943945,-78.702491959557,0
104,DEEP RIVER,46.1030379217118,-77.5062419939787,0
105,CHALK RIVER eastbound,46.0196139290929,-77.4502609390766,0
106,PETAWAWA,45.9018209483475,-77.2847129870207,0
107,PEMBROKE,45.8261629566551,-77.116358941421,0
108,COBDEN,45.6289469171316,-76.8799939658494,0
109,RENFREW,45.4694929439575,-76.6681069973857,0
110,ARNPRIOR,45.4227329883725,-76.3687789253891,0
300,GEORGIAN COLLEGE,44.5811919216067,-79.4296079780907,0
401,BLIND RIVER HOSPITAL,46.1874259170145,-82.9235829412938,0
400,HAGAR,46.4552599936724,-80.4159999825061,0
428,RUTHERGLEN,46.2703939341009,-79.0404509659857,0
427,DEUX RIVIÈRES,46.2519929744304,-78.2865129411221,0
426,STONECLIFFE,46.2132829986513,-77.896781936288,0
425,ROLPHTON,46.1715789232403,-77.697333963588,0
424,POINT ALEXANDER,46.1347269639373,-77.5543269608171,0
423,WHITE RIVER,48.5930079873652,-85.2748999837787,0
422,WAWA,47.9833439737559,-84.780005933717,0
420,BATCHAWANA BAY,46.9268599804491,-84.423889964819,0
421,GOULAIS RIVER,46.7336499877274,-84.3493199441583,0
419,HEYDEN,46.6423599980772,-84.3068499304355,0
418,SAULT AREA HOSPITAL,46.548939999193,-84.3120899610222,0
417,SAULT COLLEGE,46.5325679630042,-84.3152829632164,0
415,GARDEN RIVER,46.5455899201334,-84.1628999635578,0
414,ECHO BAY,46.4844499714673,-84.0702099446208,0
413,BRUCE MINES,46.3004199229181,-83.7935699243099,0
412,THESSALON,46.2566429190338,-83.5574269853533,0
411,IRON BRIDGE,46.2787899188698,-83.2200099527837,0
410,WAHNAPITAE,46.487699970603,-80.7899099774659,0
409,SPRAGGE,46.2117499485612,-82.6018199510873,0
408,SPANISH,46.19593991898,-82.3455599416048,0
407,MASSEY,46.2126889731735,-82.0758229214699,0
406,WEBBWOOD,46.2698199413717,-81.8861199170352,0
405,ESPANOLA,46.2612079549581,-81.769426977262,0
404,NAIRN CENTRE,46.3294799812139,-81.5885599236936,0
403,BLIND RIVER,46.1851459555328,-82.928995974362,0
402,HEALTH SCIENCES NORTH,46.4671779703349,-80.9959019534291,0
435,BARR RD,46.3380569312722,-84.0450439509005,0
431,DESBARATS,46.3458729721606,-83.9229199569673,0
434,BIG PERCH BAY RD,46.2885789759458,-83.7047119438649,0
432,DUMOND RD,46.2826169282198,-83.4121149592102,0
430,HURON SHORES,46.2749449722469,-83.4353809431196,0
433,BRANIFF RD,46.2874969560653,-83.6837059725077,0
436,ARCHIBALD RD,46.3176359329373,-83.8650639541448,0
437,FISHER RD,46.3150049373508,-83.8531789183617,0
