Station ID,Stations,State/Province,Type,Zone,Time zone diff,Latitude,Longitude
227,KEEWATIN,ON,,1,0,49.757413,-94.557305
176,KENOGAMI northbound,ON,,1,0,48.100175,-80.195609
238,KENOGAMI southbound,ON,,1,0,48.099758,-80.195215
525,KENORA,ON,,1,0,49.759560,-94.468970
226,KENORA AIRPORT,ON,,1,0,49.790563,-94.365088
228,KENORA RIVER DRIVE AT HWY 17,ON,,1,0,49.759887,-94.466470
136,KEY RIVER,ON,,1,0,45.894568,-80.566324
229,KING CITY GO STATION,ON,,1,0,43.920493,-79.526015
230,KINGSWAY,ON,,1,0,46.495265,-80.887699
174,KIRKLAND LAKE,ON,,1,0,48.147776,-80.045230
548,LAKE WOODS HOSPITAL,ON,,1,0,49.767397,-94.500512
509,LAKEHEAD UNIVERSITY,ON,,1,0,48.422384,-89.260898
224,LAKEHEAD UNIVERSITY ORILLIA,ON,,1,0,44.592140,-79.459410
310,LAKESHORE DR,ON,,1,0,46.264054,-79.392542
557,LANDMARK HOTEL,ON,,1,0,48.451784,-89.250924
476,LANGSTAFF TRAIN DEPOT,ON,,1,0,43.838574,-79.423002
165,LATCHFORD,ON,,1,0,47.326039,-79.810919
130,LAURENTIAN UNIVERSITY,ON,,1,0,46.465529,-80.970360
125,LEVACK,ON,,1,0,46.625082,-81.453777
441,LITTLE CURRENT,ON,,1,0,45.978692,-81.918600
467,LONGLAC,ON,,1,0,49.804300,-86.488720
416,LORETTE,MB,,1,0,49.739910,-96.874110
144,MACTIER,ON,,1,0,45.118721,-79.757348
512,MANITOUWADGE,ON,,1,0,49.125856,-85.828806
513,MANITOUWADGE JCT,ON,,1,0,48.703996,-85.858968
453,MANITOWANING,ON,,1,0,45.744420,-81.807507
500,MARATHON,ON,,1,0,48.720750,-86.373420
553,MARATHON - REST STOP,ON,,1,0,48.726465,-86.376862
163,MARTEN RIVER,ON,,1,0,46.735333,-79.803654
407,MASSEY,ON,,1,0,46.212689,-82.075823
180,MATHESON,ON,,1,0,48.536381,-80.465781
487,MATHESON - TRAIN STATION,ON,,1,0,48.534169,-80.465595
302,MATTAGAMI FIRST NATION,ON,,1,0,47.799000,-81.522308
120,MATTAGAMI FIRST NATION RD,ON,,1,0,47.781690,-81.580632
103,MATTAWA,ON,,1,0,46.316381,-78.702492
202,MATTICE,ON,,1,0,49.612807,-83.263165
443,M'CHIGEENG,ON,,1,0,45.827596,-82.160874
449,MINDEMOYA,ON,,1,0,45.732465,-82.162168
460,MINE CENTRE,ON,,1,0,48.763450,-92.634800
197,MOONBEAM,ON,,1,0,49.344823,-82.159878
609,MOOSE RIVER,ON,,1,0,50.813386,-81.292106
115,MOOSONEE,ON,,1,0,51.275270,-80.647373
471,NAGAGAMISIS PROVINCIAL PARK,ON,,1,0,49.453879,-84.704491
404,NAIRN CENTRE,ON,,1,0,46.329480,-81.588560
191,NELLIE LAKE,ON,,1,0,48.768893,-80.801227
537,NESTOR FALLS,ON,,1,0,49.114438,-93.926411
169,NEW LISKEARD,ON,,1,0,47.506557,-79.667331
114,NEW LISKEARD - DYMOND,ON,,1,0,47.528430,-79.675283
117,NIGHTHAWK,ON,,1,0,48.550008,-80.986989
504,NIPIGON,ON,,1,0,49.013895,-88.263718
554,NIPIGON - REST STOP,ON,,1,0,49.021254,-88.288781
205,NORTH BAY,ON,,1,0,46.313775,-79.438160
312,NORTH BAY BUS GARAGE,ON,,1,0,46.318426,-79.424535
212,NORTH BAY EDC,ON,,1,0,46.343948,-79.491528
