route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
12A,8e896df6-2496-4d4f-9079-946c6e56c815,20d0a99b-64d8-4b3a-a676-de5fb052f150,e0263110-798e-4af8-a72f-a56bb0e9c48b,GEORGIAN MALL,0,9531fac9-23e4-4626-81ed-23c9668a704c
7A,a1c1be47-a6f9-4187-8396-05fd20f2b819,a9d058f9-aac1-426b-bea6-6e1bb583985e,16856e2e-ee13-4bf5-80ed-e3df337bba43,GROVE to Georgian College,0,b4edd0a7-6d9c-4b05-98cd-67748cd309ed
100,8e896df6-2496-4d4f-9079-946c6e56c815,63c29e64-a79d-4eac-b945-7c3ddf03c34a,f2b219d4-3593-4748-b626-dc2fb2151969,Red Express  to Downtown Barrie Terminal,0,cea54b06-3ef7-46a3-ab1c-2e0f8ae04fc6
400,fcfc42af-1cc2-48e2-a437-c965c0129a04,ec31d60e-6d9a-414f-9197-4c4c5db7a455,3c0b7390-5b78-447b-b090-67c953a876c7,EXPRESS  to RVH,0,550411c9-f616-43bf-9a6b-e0ad8ee174fe
400,8e896df6-2496-4d4f-9079-946c6e56c815,81204080-e815-4aa3-92c7-4c06c9cff77c,fb60fb19-5e10-41f1-bc89-e98fd96f07e9,EXPRESS  to Park Place,1,c5eb7eff-5d08-4ada-9544-bcf023f6f011
100,a1c1be47-a6f9-4187-8396-05fd20f2b819,cf0f54f7-204b-4aa2-9645-f4834da06cb4,f2b219d4-3593-4748-b626-dc2fb2151969,Red Express  to Downtown Barrie Terminal,0,305d949e-dae7-4ec1-95c6-28e821bb00e5
8A,fcfc42af-1cc2-48e2-a437-c965c0129a04,0ee99271-2bd2-4673-883c-126153a1e530,9f199383-c599-4af4-8ffa-65f755605207,RVH/YONGE to Georgian College,0,bbe9b596-0b1a-43e5-9a0d-a9f6e76df78a
10,a1c1be47-a6f9-4187-8396-05fd20f2b819,fdeed8d6-b2aa-476e-99c7-016473603647,ad2b6efb-c3ff-44f7-8b9e-1166aac33bdd,NORTH LOOP to Downtown Barrie Terminal,0,6f6d6f9b-f6f5-4c2f-858e-295ac4603238
11,a1c1be47-a6f9-4187-8396-05fd20f2b819,81895dc4-4e35-40fb-b3b4-d8547daf491a,de78c483-7fab-46e3-af0e-f32f701179ed,NORTH LOOP to Downtown Barrie Terminal,0,aae10a0a-d6ea-483a-a2d2-c0b0ed6f2e0e
8A,8e896df6-2496-4d4f-9079-946c6e56c815,9da0be5f-59bd-42b6-bd68-94e4f87833f1,d80bd508-1c87-419a-b9f2-9ef2c87b090f,RVH/YONGE to Georgian College,0,8310d8d0-0c33-4f52-a4be-11449e501319
