shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
9760712d-56fe-44bb-a303-0a8e28856f57,44.4164005279766,-79.6584840334326,30,1352.38
972d7113-fec4-4888-8ea9-5b2b693b8cdd,44.4010899142936,-79.6555414376716,51,4632.58
3a60d038-bf9e-43d0-9a0d-2adcbc771f2c,44.3742532156772,-79.6898599367231,23,1679.63
72ad0ba1-cacf-40fb-adaf-240728a55d34,44.4134336356968,-79.6689736353713,153,10768.94
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.3318446452205,-79.7011347400102,120,8879.73
8735d8f7-0e87-4647-bc4b-54b40351ff33,44.3760832596097,-79.7200051044854,21,2484.6
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3356791984348,-79.7192034419327,119,14316.29
285d1870-9270-462a-a590-956ee6c5a4f8,44.4126898571491,-79.7030168360346,139,13056.37
b432141f-1e33-4476-83b5-d10122614ac0,44.4040984522456,-79.7062041415462,102,5708.73
b432141f-1e33-4476-83b5-d10122614ac0,44.38715706,-79.70935615,128,8422.06
fc12d730-8679-48bd-9b5a-a139a03a8154,44.3834803153929,-79.7207972634601,200,14997.16
47c58a29-9a71-4021-a319-c82abca6f233,44.35490312,-79.611327,23,2231.79
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.3685983616186,-79.7085603458058,90,7845.67
fc12d730-8679-48bd-9b5a-a139a03a8154,44.3960295257586,-79.7335533638926,149,12478.33
a5771baa-d2e0-4c44-a091-e0f0ffaab9da,44.4164005279766,-79.6584840334326,38,1339.76
b432141f-1e33-4476-83b5-d10122614ac0,44.3618293297096,-79.6569388130556,222,15052.07
67cb1e97-67ff-4503-aa48-abc8c73c8fa0,44.4115246481612,-79.6889173799108,37,5357.92
23361bcf-9d2f-4b5f-a4d6-45c9afe939f0,44.34205309,-79.70697499,107,15423.89
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.3335103430747,-79.6938462398499,116,8271.56
b432141f-1e33-4476-83b5-d10122614ac0,44.3751603043266,-79.6989310656029,136,9991.97
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.36420057,-79.70745891,94,8342.42
f3c4f678-ae76-42a2-b5cf-797fe765274b,44.4020750699446,-79.6642157487105,222,15006.74
af017968-897b-470d-983c-5bab1508033d,44.3283316647392,-79.7151209097202,18,3544.1
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.34205309,-79.70697499,138,16019.36
72ad0ba1-cacf-40fb-adaf-240728a55d34,44.4132536725018,-79.6689855193339,154,10788.96
af017968-897b-470d-983c-5bab1508033d,44.4155173951199,-79.662517653977,188,21957.23
3a60d038-bf9e-43d0-9a0d-2adcbc771f2c,44.322736601957,-79.7227276796164,105,10157
0f222b01-e747-4b9d-be96-92877cec5877,44.3476937275325,-79.7337463694123,69,9482.46
92eb05eb-df85-4562-b49a-c8c53ff981ee,44.3774630335262,-79.6897110447978,8,479.11
03113888-0669-4b4a-b0d8-8d87fa8db294,44.39039984,-79.69250726,27,2084.54
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.3795399088341,-79.6905494056539,90,9318.53
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.346517,-79.704667,135,13811.01
23361bcf-9d2f-4b5f-a4d6-45c9afe939f0,44.3283316647392,-79.7151209097202,70,10123.97
f3c4f678-ae76-42a2-b5cf-797fe765274b,44.4156538058276,-79.6734873398404,198,12749.79
1a520a5d-7201-4d80-b4c0-79df4d7f608c,44.4121676662977,-79.6693444210241,20,1050.29
c98a43cc-207a-46d4-85ee-08685d7a2d42,44.3501101046866,-79.701121431656,69,9865.25
af017968-897b-470d-983c-5bab1508033d,44.39037224,-79.68509193,133,15808.74
72ad0ba1-cacf-40fb-adaf-240728a55d34,44.4039557991703,-79.7061779700888,46,5254.77
c3921239-be69-4edd-9727-a1656c7c1df2,44.33345762,-79.69292148,139,12949.58
7cceab4f-4848-411d-af4d-516653b12c9b,44.3806408268489,-79.7036492141518,116,9278.95
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.3504988894166,-79.6298649123167,260,30132.04
3a60d038-bf9e-43d0-9a0d-2adcbc771f2c,44.3573986114411,-79.6986073052161,47,4101.46
