route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
7A,f7362610-9cc6-4990-b05c-5d3dc36f9f00,8ab53f6f-448b-4c4f-8c61-2ffd0fee4934,00a18ffd-a9de-4ed9-bab6-ab5a5e387c91,GROVE to Georgian College,0,86bf74ed-cf87-44ef-9532-750ba909959c
7A,83f00a42-51d3-48a7-9f79-2e8419a06c9d,928910ac-136a-4bb9-8941-3779fb677814,00a18ffd-a9de-4ed9-bab6-ab5a5e387c91,GROVE to Georgian College,0,f443e592-3fbe-4611-9f4a-7b01e27d3021
12B,f7362610-9cc6-4990-b05c-5d3dc36f9f00,fff460bc-c93b-4f7c-9cc1-18400364ea8b,b224d92c-e2d2-4e15-bb5d-fbd6d2b1c9e4,BARRIE SOUTH GO,0,122ce5d6-eb9b-437b-a764-a5caf0616ca3
12A,83f00a42-51d3-48a7-9f79-2e8419a06c9d,715509d3-792d-495a-b05b-15a6f0c390c7,039665b2-b02e-459b-8a6f-56438cb103df,GEORGIAN MALL,0,4a392242-954c-4107-bba2-3844905eab51
8A,9b8ca608-e9d6-4b70-af36-504135a2886c,21c4c939-0912-4a60-a948-b0849d5949ff,c6b1fceb-c182-4fdc-bcb8-7621b9a1e7f0,RVH/YONGE to Georgian College,0,c5e010f3-1094-460e-89cd-1cb5920f747b
8A,f7362610-9cc6-4990-b05c-5d3dc36f9f00,3092a6a8-6651-4468-b253-662bdea69e13,62b2935a-e445-492d-a60c-88227fc27d76,RVH/YONGE to Georgian College,0,418f36b6-e070-4f0e-9cf8-487528d72297
8A,f7362610-9cc6-4990-b05c-5d3dc36f9f00,9ccc633e-d2ae-4533-916d-f43e5c9ab258,62b2935a-e445-492d-a60c-88227fc27d76,RVH/YONGE to Georgian College,0,88a5f215-8872-46c6-9a5b-ad95de23215b
12A,f7362610-9cc6-4990-b05c-5d3dc36f9f00,c9bd33b1-9aa7-4a1b-ad88-421f6884b6b4,039665b2-b02e-459b-8a6f-56438cb103df,GEORGIAN MALL,0,122ce5d6-eb9b-437b-a764-a5caf0616ca3
100,f4b890df-95f4-4de6-9236-6c2c0e207b96,5fb942cb-8950-4924-a869-665c05697efa,43a593d1-2077-4815-955c-0c23cab3e490,Red Express  to Downtown Barrie Terminal,0,f11e0e5f-af86-431f-b747-7f0343ee6e11
8B,9b8ca608-e9d6-4b70-af36-504135a2886c,4a49b2ec-bead-407f-ad3f-106bee854fac,12fa05dc-aee0-4e65-9bbd-99240d26b698,Crosstown/Essa to Georgian College ,0,13a3a7cd-a64c-4e83-bc9a-37afd522fdf0
